username,handle,postDate,responding,retweets,likes
Gwnf5066,@NaraedhaWigar,2023-07-07T10:41:27.000Z,"@IndiHome Ngelag bat anj, Customer Service responnya lambat, wifi sudah direstart tetep aja gangguan ngntd 162",,
SPS,@Yasmin160118,2023-07-07T09:28:26.000Z,@IndiHome bala dm cpt 141,,
BWR,@Belawr77965871,2023-07-07T09:28:06.000Z,@IndiHome mau tanya 159,,
Andi Odank,@AndiOda68941289,2023-07-07T09:27:25.000Z,soree @IndiHome 168,,
supramen,@leslaiii3,2023-07-07T09:26:40.000Z,@IndiHome cek dm 120,,
supramen,@leslaiii3,2023-07-07T09:25:28.000Z,@IndiHome baca dm 136,,
Fitri Yani,@FitriYa8756578,2023-07-07T09:25:10.000Z,mau upspeed dong @IndiHome 230,,
Ra_,@Ra67343486,2023-07-07T09:02:57.000Z,Replying to @ssbetra and @IndiHome Punyaku jg dari tadi masih merah terus,,
Teguh notonegoro,@pangerankadal1,2023-07-07T08:54:59.000Z,@IndiHome min mau berhenti langganan indihome bagaimana? 146,,
PRAM,@pram_balitar,2023-07-07T08:47:15.000Z,@IndiHome jadi busuk koneksinya MENGECEWAKAN UDAH 11 HARI . KONEKSI SERING DOWN TRUS APA GUNANYA AMBIL KECEPATAN MBPS KALO GINI TERUS KONEKSIMU 249,,
BundanyAliy,@mruzaliy,2023-07-07T08:17:33.000Z,@TelkomIndonesia @TelkomCare @Telkomsel @erickthohir setelah diakuisisi @Telkomsel kenapa jadi terlalu lama pemasangan @IndiHome nya? 163,,
Gwnf5066,@NaraedhaWigar,2023-07-07T08:05:21.000Z,"Replying to @IndiHomeCare @IndiHome @IndiHomeCare Gak becus gila, gak dibales2 DMnya, n1gga...",,
la,@pinxypicky,2023-07-07T07:08:55.000Z,Replying to @pinxypicky @IndiHome @IndiHomeCare,,
Rizky Prasetya,@rizkyXprasetya,2023-07-07T06:54:18.000Z,@IndiHome ayo senggel brody 149,,
IndiHomeCare,@IndiHomeCare,2023-07-07T06:50:07.000Z,"Replying to @basshofi_habib and @IndiHome Sebelumnya silakan informasikan nomor internet, nomor Hp utama dan Hp alternatif via DM akun kami @IndiHomeCare untuk pengecekan dan koordinasi selanjutnya. Terima kasih -Vexa (2)",,
Hermioneee,@JerryyyMouse,2023-07-07T06:10:08.000Z,@IndiHome dirumah gangguan..Gue be like : ,,
Basshofi Habieb,@basshofi_habib,2023-07-07T05:39:17.000Z,Apakah pesan WA ini beneran dari @IndiHome ??! ,,
WOLGANS,@WOLGANSS,2023-07-07T05:25:14.000Z,@IndiHome Siang admin? 148,,
iqbal ferdian,@ferdianjamba,2023-07-07T05:19:05.000Z,"@IndiHome hai min, cek DM saya ya 156",,
Farida Indriastuti (She/Her),@faridaindria,2023-07-07T05:12:28.000Z,"Replying to @KiriItuTanda Yg aneh bertahun2 sy ditagih oleh @IndiHome padahal bukan pelanggan, TV aja gak ada. Nonton cuma streaming spt Netflix dllnya di laptop. Ada 5 tahun lebih tagihan indihome ke email saya. Buat surat komplain gak ditanggapi, akhirnya ke Plaza Telkom sy marah-marah.",,
IndiHomeCare,@IndiHomeCare,2023-07-07T04:43:55.000Z,"Replying to @sttvni and @IndiHome atau tercabut adaptornya.Silakan informasikan nomor internet, nomor Hp utama dan Hp alternatif via DM @IndiHomeCare untuk koordinasi selanjutnya. Terima kasih -Vexa (2)",,
Paulus Binsar,@paulus666,2023-07-07T04:32:03.000Z,Replying to @i_m_mortal_ Tumben @IndiHome poin ga ada promo 7.7,,1.0
Betrass,@ssbetra,2023-07-07T04:19:54.000Z,@IndiHome hallo ini wifi signal nya los merah dari td ,,1.0
onel ׅ ࣪𓏲 ֶָ.,@sttvni,2023-07-07T04:15:37.000Z,@indihome ini kenapa ya ada titik merah ,,
